Drug,Short_Drug,Normal dose,Dose in renal impairment GFR (mL/min)
hydroxycarbamide (hydroxyurea),Hydroxycarbamide,CML: 20–30 mg/kg daily or 80 mg/kg every 3 days Consult local protocol,">60	85% of normal dose and titrate to response.
45–60	80% of normal dose and titrate to response.
30–45	75% of normal dose and titrate to response.
10–30	50% of normal dose and titrate to response.
<10	20% of normal dose and titrate to response."
hydroxycarbamide (hydroxyurea),Hydroxyurea,CML: 20–30 mg/kg daily or 80 mg/kg every 3 days Consult local protocol,">60	85% of normal dose and titrate to response.
45–60	80% of normal dose and titrate to response.
30–45	75% of normal dose and titrate to response.
10–30	50% of normal dose and titrate to response.
<10	20% of normal dose and titrate to response."
hydroxychloroquine sulphate,Hydroxychloroquine,"200–400 mg daily in divided doses; maximum of 6.5 mg/ kg/day
Prophylaxis of malaria: 400 mg weekly","30–50	150 mg daily.
10–30	50–100 mg daily. Use with caution.
<10	50–100 mg daily. Use with caution."
hydroxyzine hydrochloride,Hydroxyzine,"Pruritus: 25 mg at night increasing as necessary to 3–4 times a day
Anxiety: 50–100 mg 4 times daily
Maximum daily dose: 100 mg daily, 50 mg in elderly","20–50	Dose as in normal renal function.
10–20	Start with 50% of dose and increase if necessary.
<10	Start with 50% of dose and increase if necessary."
hyoscine butylbromide,Hyoscine butylbromide,"Oral: 20 mg 4 times a day
Irritable bowel syndrome: 10 mg 3 times a day, increasing to 20 mg 4 times a day if required
IV/IM: 20 mg repeated after 30 minutes if required; maximum 100 mg daily
Bowel colic: 60–300 mg/24 hours by subcutaneous infusion
Excessive respiratory secretions: 20–120 mg/24 hours by subcutaneous infusion","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
hyoscine butylbromide,Hyoscine,"Oral: 20 mg 4 times a day
Irritable bowel syndrome: 10 mg 3 times a day, increasing to 20 mg 4 times a day if required
IV/IM: 20 mg repeated after 30 minutes if required; maximum 100 mg daily
Bowel colic: 60–300 mg/24 hours by subcutaneous infusion
Excessive respiratory secretions: 20–120 mg/24 hours by subcutaneous infusion","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
hyoscine hydrobromide,Hyoscine hydrobromide,"Motion sickness:
Oral: 150-300 mcg 30 minutes before start of journey then repeat every 6 hours if required; maximum 900 mcg in 24 hours.
Topical: 1 patch 5–6 hours before journey replace after 72 hours.
Hypersalivation: 300 mcg up to 3 times daily.
Premedication (SC/IM): 200–600 mcg 30–60 minutes before anaesthesia.
SC Infusions: Excessive secretions and bowel colic (patch can also be used for excessive secretions): 1.2–2 mg over 24 hours.","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
ibandronic acid,Ibandronic,"Oral: 50 mg daily
IV: 6 mg every 3–4 weeks
Hypercalcaemia of malignancy: 2–4 mg as a single dose, repeated according to serum calcium level
Postmenopausal osteoporosis: 150 mg monthly (oral), 3 mg every 3 months (IV bolus)","30–50	Oral: 50 mg every 48 hours. IV: 4 mg every 3–4 weeks. See ‘Other information’.
10–30	Oral: 50 mg weekly, IV infusion: 2 mg every 3–4 weeks. See ‘Other information’.
<10	Oral: 50 mg weekly. IV infusion: 2 mg every 3–4 weeks. See ‘Other information’."
ibrutinib,Ibrutinib,"MCL: 560 mg once daily
CLL/WM: 420 mg once daily","30–50	Dose as in normal renal function.
10–30	Dose as in normal renal function. Use with caution.
<10	Dose as in normal renal function. Use with caution."
ibuprofen,Ibuprofen,"Initially: 200–400 mg 3–4 times daily, after food. Maximum 2.4 g daily","20–50	Dose as in normal renal function, but avoid if possible.
10–20	Dose as in normal renal function, but avoid if possible.
<10	Dose as in normal renal function, but only use if on dialysis."
idarubicin hydrochloride,Idarubicin,"IV:
ANLL: 12 mg/m2 daily for 3 days in combination with cytarabine, or 8 mg/m2 daily for 5 days with or without combination therapy.
ALL: 12 mg/m2 daily for 3 days
ANLL: 30 mg/m2 daily for 3 days as a single agent, or 15–30 mg/m2 daily for 3 days in combination with other anti-leukaemic agents.
Breast cancer:
45 mg/m2 given either as a single dose or divided over 3 consecutive days every 3–4 weeks.
Maximum cumulative dose is 400 mg/m2 daily.
Or see local protocol.","20–50	Use 75% of dose.
10–20	Use 75% of dose with caution.
<10	Use 50% of dose with caution."
idarucizumab,Idarucizumab,"5 g stat
A 2nd dose can be given in certain circumstances","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
idelalisib,Idelalisib,150 mg twice daily,"30–50	Dose as in normal renal function.
10–30	Dose as in normal renal function.
<10	Dose as in normal renal function."
ifosfamide,Ifosfamide,"Usual total dose for each course is either 8–12 g/m2, equally divided as single daily doses over 3–5 days, or 5–6 g/m2 (maximum 10 g) given as a 24 hour infusion
OR according to local protocol",">60	80% of normal dose.
30–60	80% of normal dose.
15–30	80% of normal dose.
<15	60% of normal dose."
iloprost,Iloprost,"Pulmonary hypertension:
Nebulised: 2.5–5 mcg per inhalation session 6–9 times per day
IV: Usually 1–8 ng/kg/min, but can use higher doses (up to 25 ng/kg/min) according to response.
Severe peripheral arterial ischaemia: 
Dose is adjusted according to individual tolerability within the range of 0.5–2 nanograms/kg/minute over 6 hours daily.","30–50	1.1 mg/m2/dose.
<30	Reduce dose."
imatinib,Imatinib,"400–600 mg daily, increasing to a maximum of 400 mg twice daily
Dose depends on indication","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function. See ‘Other information’.
<10	Dose as in normal renal function. Use with caution. See ‘Other information’."
imidapril hydrochloride,Imidapril,2.5–20 mg once daily,"20–50	Initially 2.5 mg daily and adjust according to response.
10–20	Initially 2.5 mg daily and adjust according to response.
<10	Initially 2.5 mg daily and adjust according to response."
imipramine hydrochloride,Imipramine,25 mg up to 3 times daily increasing up to 150–200 mg daily; maximum 300 mg in hospital patients,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
indapamide,Indapamide,"2.5 daily in the morning
Modified release: 1.5 mg daily in the morning","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function. See ‘Other information’."
indinavir,Indinavir,800 mg every 8 hours,"20–50	Dose as in normal renal function. Monitor closely.
10–20	Dose as in normal renal function. Monitor closely.
<10	Dose as in normal renal function. Monitor closely."
indometacin,Indometacin,"Oral: 50–200 mg daily in divided doses, after food
PR: 100 mg twice daily if required
Gout: 150–200 mg daily in divided doses
Dysmenorrhoea: up to 75 mg daily
Maximum combined oral and PR: 150–200 mg daily
MR: 75 mg 1–2 times daily, once daily in","20–50	Dose as in normal renal function, but avoid if possible.
10–20	Dose as in normal renal function, but avoid if possible.
<10	Dose as in normal renal function, but only use if CKD 5 and on dialysis."
indoramin,Indoramin,"Hypertension: 25 mg twice daily initially, increasing to a maximum of 200 mg daily in 2–3 divided doses.
BPH: 20 mg twice daily increasing to a maximum of 100 mg daily in divided doses.","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function. See ‘Other information’."
infliximab,Infliximab,3–7.5 mg/kg depending on indication,"20–50	Dose as in normal renal function. Use with caution.
10–20	Dose as in normal renal function. Use with caution.
<10	Dose as in normal renal function. Use with caution."
inosine pranobex,Inosine,"Mucocutaneous herpes simplex: 1 g four times a day for 7–14 days
Genital warts: 1 g three times a day for 14–28 days
Subacute sclerosing panencephalitis: 50–100 mg/kg daily in 6 divided doses","20–50	Dose as in normal renal function. See ‘Other information’.
10–20	Dose as in normal renal function. Use with caution. See ‘Other information’.
<10	Dose as in normal renal function. Use with caution. See ‘Other information’."
inositol nicotinate,Inositol,"3 g daily in 2–3 divided doses, maximum 4 g daily","30–50	Dose as in normal renal function.
10–30	Dose as in normal renal function.
<10	Dose as in normal renal function."
insulin – soluble (actrapid or humulin s),Insulin soluble,Variable,"20–50	Variable.
10–20	Variable.
<10	Variable."
insulin – soluble (actrapid or humulin s),Actrapid,Variable,"20–50	Variable.
10–20	Variable.
<10	Variable."
insulin – soluble (actrapid or humulin s),Humulin S,Variable,"20–50	Variable.
10–20	Variable.
<10	Variable."
interferon alfa-2a (roferon a),Interferon alfa-2A,"Hairy cell leukaemia: 1.5–3 million IU daily or 3 times per week
Chronic myelogenous leukaemia: 3–9 million IU daily or 3 times per week
Cutaneous T-cell lymphoma: 3–18 million IU daily or 3 times per week
Chronic hepatitis B: 2.5–5 million IU/m2 3 times per week
Chronic hepatitis C: 3–6 million IU 3 times per week
Follicular non-Hodgkin’s lymphoma: 6 million IU/ m2 on days 22–26 of each 28 day cycle
Advanced renal cell carcinoma: 9–18 million IU 3 times per week
Malignant melanoma: 1.5–3 million IU 3 times a week","20–50	Dose as in normal renal function.
Monitor renal function closely.
10–20	Dose as in normal renal function.
Monitor renal function closely.
<10	Use with great caution. See ‘Other information’."
interferon alfa-2b,Interferon alfa-2B,"Chronic hepatitis B: 5–10 million IU 3 times a week
Chronic hepatitis C: 3 million IU 3 times a week
Hairy cell leukaemia: 2 million IU/m2 3 times a week
Multiple myeloma: 3 million IU/m2 3 times a week
Carcinoid tumour: 3–9 million IU/m2 3 times a week
Chronic myelogenous leukaemia: 4–5 million IU/ m2 daily
Follicular lymphoma: 5 million IU 3 times a week
Malignant melanoma: 20 million IU/m2 (IV infusion) daily for 5 days, decreasing to 10 million IU/m2 (SC) 3 times a week","20–50	Dose as in normal renal function.
Monitor renal function closely.
10–20	Dose as in normal renal function.
Monitor renal function closely.
<10	Use with great caution. See ‘Other information’."
interferon beta,Interferon beta,"Interferon beta-1 a:
Avonex: 6 million IU (30 micrograms) once a week
Rebif: 8.8–44 micrograms 3 times a week Interferon beta-1 b:
Betaferon/Extavia: 8 million IU (250 mcg) every
second day","20–50	Dose as in normal renal function.
Monitor renal function.
10–20	Dose as in normal renal function.
Monitor renal function.
<10	Use with caution due to risk of accumulation, and monitor renal function."
ipilimumab,Ipilimumab,3 mg/kg every 3 weeks for 4 doses,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function. Use with caution.
<10	Dose as in normal renal function. Use with caution."
ipratropium bromide,Ipratropium,"Nebuliser solution: 250–500 micrograms 3– 4 times daily
Inhaler: 20–80 micrograms 3–4 times daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
irbesartan,Irbesartan,75–300 mg daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
irinotecan hydrochloride,Irinotecan,"Without 5-FU: 350 mg/m2 every 3 weeks
With 5-FU: 180 mg/m2 every 2 weeks","20–50	Dose as in normal renal function and monitor closely.
10–20	Dose as in normal renal function and monitor closely.
<10	Reduce dose (50–80 mg/m2) and monitor closely. Increase as tolerated."
iron dextran 5% solution,Iron dextran,"Total iron infusion: Dose of iron dextran (mg) = weight (kg) × [Target Hb (g/L) – Actual Hb (g/L)]
× 0.24 + 500 mg iron for iron stores (if body weight >35 kg) , 20 mg/kg in a single dose.
Target haemoglobin level (110 g/L for renal patients as a guide) or 100–200 mg 2 or 3 times a week depending on haemoglobin.
A test dose is essential. Give 0.5 mL or 25 mg iron	 over 15 minutes and observe for 60 minutes (15 minutes if using low dose bolus) for anaphylaxis. Have resuscitative equipment and drugs at hand (adrenaline, chlorphenamine and hydrocortisone).","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
iron isomaltoside 1000,Iron isomaltoside,Dose according to weight,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
iron sucrose,Iron sucrose,According to local protocol. See ‘Other information’.,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
isavuconazole,Isavuconazole,200 mg every 8 hours for 6 doses then 200 mg once daily starting 12–24 hours after last loading dose,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
isoniazid,Isoniazid,"IM/IV: 200–300 mg daily
Oral: 300 mg daily
Intermittent regimes: 15 mg/kg 3 times weekly
Prophylaxis: 100–200 mg daily
Intrapleural: 50–250 mg
Intrathecal: 25–50 mg daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	200–300 mg daily."
isosorbide dinitrate,Isosorbide,"Oral:
Angina: 30–120 mg daily in divided doses;
LVF: 40–240 mg daily
IV: 2–20 mg/hour depending on response","       
20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
isosorbide mononitrate,Isosorbide mononitrate,20–120 mg/day in divided doses,"    
20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
isotretinoin,Isotretinoin,"0.5–1 mg/kg daily in 1–2 divided doses initially.
Maximum cumulative dose: 150 mg/kg per course.
Topically: 1–2 times daily.","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Initial dose 10 mg daily and slowly increase as tolerated up to 1 mg/kg daily. See ‘Other information’."
ispaghula husk,Ispaghula,"Fibrelief: 1–6 sachets daily in water in 1–3 divided doses
Fybogel: One sachet (3.5 g) in water twice daily
Isogel: 2 teaspoonfuls in water 1–2 times daily (constipation), 3 times daily (diarrhoea)
Regulan: 1 sachet in water 1–3 times daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
isradipine,Isradipine,"Initially 2.5 mg twice daily, increased if necessary to 10 mg twice daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
itraconazole,Itraconazole,"Oral: 100–200 mg every 8–24 hours according to indication
IV: 200 mg every 12–24 hours","30–50	Oral: Dose as in normal renal function. IV: Use with caution. See ‘Other information’.
10–30	Oral: Dose as in normal renal function. IV: Avoid. See ‘Other information’.
<10	Oral: Dose as in normal renal function. IV: Avoid. See ‘Other information’."
ivabradine hydrochloride,Ivabradine,2.5–7.5 mg twice daily (dose is reduced if heart rate is consistently below 50 beats per minute),"20–50	Dose as in normal renal function.
15–20	Dose as in normal renal function.
<15	Dose as in normal renal function. Use with caution."
ixazomib citrate,Ixazomib,"4 mg once weekly on days 1, 8 and 15 of a 28-day cycle","30–50	Dose as in normal renal function.
10–30	3 mg weekly.
<10	3 mg weekly."
ketamine,Ketamine,"All doses are expressed as the base: 1.15 mg ketamine hydrochloride ≡ 1 mg of base
Anaesthesia: IM
Short procedures: initially 6.5–13 mg/kg (10 mg/kg usually gives 12–25 minutes of surgical anaesthesia)
Painful diagnostic manoeuvres: initially 4 mg/kg
IV Injection:
Initially 1–4.5 mg/kg over at least 60 seconds (2 mg/kg usually gives 5–10 minutes of surgical anaesthesia)
IV Infusion:
Induction total dose of 0.5–2 mg/kg; maintenance
10–45 mcg/kg/min; adjust rate according to response if infusion required
Analgesia:
– IM: 1.5–2 mg/kg
IV Infusion: 2–3 mg/kg or infusion rate 5–10 mg/ hour of a solution of 5 mg/mL","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
ketoconazole,Ketoconazole,400–1200 mg daily in 2–3 divided doses See 'Other information',"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
ketoprofen,Ketoprofen,"Oral: 100–200 mg daily in 2–4 divided doses
Dysmenorrhoea: 50 mg every 8 hours","20–50	Dose as in normal renal function, but avoid if possible.
10–20	Dose as in normal renal function, but avoid if possible.
<10	Dose as in normal renal function, but only use if on dialysis."
ketorolac trometamol,Ketorolac,"Oral: 10 mg every 4–6 hours (elderly every 6–8 hours); maximum 40 mg daily; maximum duration 7 days.
IM/IV: initially 10 mg, then 10–30 mg when required every 4–6 hours (every 2 hours in initial postoperative period); maximum 90 mg daily (elderly and patients less than 50 kg: maximum 60 mg daily); maximum duration 2 days.","20–50	Maximum 60 mg daily
10–20	Avoid if possible. Use small doses and monitor closely.
<10	Avoid if possible. Use small doses and monitor closely."
ketotifen,Ketotifen,"1-2 mg twice daily
Initial dose in readily sedated patients: 0.5–1 mg at night","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
klean-prep,Klean-prep,"4 sachets, each reconstituted in 1 Litre of water, at a rate of 250 mL every 10–15 minutes.","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
labetalol hydrochloride,Labetalol,"Oral: 50–400 mg twice daily (in 3–4 divided doses if
>800 mg daily); maximum 2.4 g daily
IV infusion: 2 mg/minute until satisfactory response; usual total dose 50–200 mg
IV bolus: 50 mg over 1 minute, repeated at 5 minute intervals to a total dose of 200 mg
Pregnancy: 20–160 mg/hour
Hypertension after an MI: 15–120 mg/hour","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
lacidipine,Lacidipine,2–6 mg once daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
lacosamide,Lacosamide,50–200 mg twice daily,"30–50	Dose as in normal renal function
10–30	Maximum dose 250 mg daily.
<10	Titrate slowly. Maximum dose 250 mg daily."
lactulose,Lactulose,"Constipation: initially 15 mL twice daily; adjust according to requirements
Hepatic encephalopathy: 30–50 mL 3 times daily adjusted to produce 2–3 soft stools daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
lamivudine,Lamivudine,"HIV: 150 mg twice daily or 300 mg daily.
Hepatitis B: 100 mg daily.","30–50	See ‘Other information’. HIV: 150 mg daily. Hepatitis B: 100 mg stat then 50 mg dialy.
15–30   See ‘Other information’. HIV: 150 mg stat then 100 mg daily. Hepatitis B: 100 mg stat then 25 mg daily.
5–15	See ‘Other information’. HIV: 150 mg stat then 50 mg daily. Hepatitis B: 35 mg stat then 15 mg daily.
<5	See ‘Other information’. HIV: 50 mg stat then 25–50 mg daily.,Hepatitis B: 35 mg stat then 10 mg daily."
lamotrigine,Lamotrigine,"25–200 mg daily in 1–2 divided doses, according to clinical indication. Maximum 500 mg daily; 700 mg with enzyme-inducing drugs","20–50	Caution. Start with 75% of dose and monitor closely.
10–20	Caution. Start with 75% of dose and monitor closely.
<10	Caution. Start with low doses and monitor closely."
lanreotide,Lanreotide,"LA: Neuroendocrine tumours and acromegaly: 30 mg every 14 days, increased to every 7–10 days according to response
Thyroid tumours: 30 mg every 14 days, increased to every 10 days according to response
Autogel: Acromegaly: 60 mg every 28 days, adjusted according to response
Neuroendocrine tumours: 60–120 mg every 28 days, adjusted according to response","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
lansoprazole,Lansoprazole,"5–30 mg daily in the morning; duration dependent on indication
Zollinger-Ellison syndrome: initially 60 mg daily; adjust according to response (if >120 mg, give in 2 divided doses)","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
lanthanum carbonate,Lanthanum,"Usually 500 mg – 1 g 3 times a day with meals
Maximum 3750 mg daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
lapatinib,Lapatinib,"In combination with capecitabine: 1.25 g once daily
In combination with an aromatase inhibitor: 1.5 g once daily
In combination with trastuzumab: 1 g once daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function. Use with caution."
leflunomide,Leflunomide,"IV:
9 million units/day in 2–3 divided doses
In critically ill patients a loading dose of 9–12 million units should be given
Intrathecal, intra-ventricular: 125,000 units/day
Nebulised solutions:
Promixin: 1–2 million units every 8–12 hours
Colobreathe: 1 capsule (1,662,500 IU) twice daily
Oral: 1.5–3 million units every 8 hours","30–50	IV: Normal loading dose in critically ill patients then 5.5–7.5 million units per day in 2 divided doses. Other routes: Dose as in normal renal function.
10–30	IV: Normal loading dose in critically ill patients then 4.5–5.5 million units per day in 2 divided doses. Other routes: Dose as in normal renal function.
<10	IV: Normal loading dose in critically ill patients then 3.5 million units per day in 2 divided doses. Other routes: Dose as in normal renal function."
lenalidomide,Lenalidomide,"5 mg/kg weekly for 2 weeks then once every 2 weeks.
(See further information for BK polyoma virus treatment)",">55	Dose as in normal renal function.
<55	See 'Other information'."
lenograstim,Lenograstim,"Cytotoxic neutropenia: 150 mcg/m2 (19.2 MIU/m2) daily SC
Mobilisation of peripheral blood progenitor cells: 10 mcg/kg (1.28 MIU/kg) daily
Bone marrow transplant: 150 mcg/m2 (19.2 MIU/ m2) daily as an IV infusion or SC injection","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
lenvatinib mesilate,Lenvatinib,"RCC: 18 mg once daily
DTC: 24 mg once daily","30–50	Dose as in normal renal function.
<30	RCC: 10 mg once daily, DTC: starting dose 14 mg once daily. See ‘Other information’."
lercanidipine hydrochloride,Lercanidipine,10–20 mg daily,"20–50	Use small doses and titrate to response.
10–20	Use small doses and titrate to response.
<10	Use small doses and titrate to response."
letrozole,Letrozole,2.5 mg daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function. See ‘Other information’."
leuprorelin acetate,Leuprorelin,"11.25 mg every 3 months (SC depot injection, prostate cancer only)
Or 3.75 mg every 4 weeks
Endometriosis: 3.75 mg every month or 11.25 mg every 3 months for maximum 6 months (not to be repeated)","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
levamisole (unlicensed product),Levamisole,2.5 mg/kg as a single dose,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
levetiracetam,Levetiracetam,250 mg – 1.5 g twice daily,"50–79	500–1000 mg twice daily
30–49	250–750 mg twice daily
<30	250–500 mg twice daily"
levocetirizine hydrochloride,Levocetirizine,5 mg daily,"30–50	5 mg every 48 hours. See ‘Other information’.
10–30	5 mg every 72 hours. See ‘Other information’.
<10	5 mg every 72 hours. See ‘Other information’."
levofloxacin,Levofloxacin,"Oral/IV: 250–500 mg once or twice a day (varies depending on indication)
Nebulised: 240 mg twice daily","20–50	Initial dose 250–500 mg then 125 mg daily to 250 mg 12–24 hourly. See ‘Other information’. Nebulised: dose as in normal renal function.
10–20	Initial dose 250–500 mg then 125 mg 12–48 hourly. See ‘Other information’. Nebulised: dose as in normal renal function. Use with caution.
<10	Initial dose 250–500 mg then 125 mg 24–48 hourly. See ‘Other information’. Nebulised: dose as in normal renal function. Use with caution."
levofolinic acid,Levofolinic acid,"Prevention of methotrexate-induced adverse effects:
7.5 mg every 6 hours for 10 doses
Methotrexate overdose: Initial dose at least 50% of methotrexate dose; see SPC
Colorectal cancer: depends on regimen; see SPC","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
levomepromazine (methotrimeprazine),Levomepromazine,"Schizophrenia: Oral, initially 25–50 mg daily, increasing to 100–200 mg in 3 divided doses; maximum dose 1 g daily
Palliative care:
Oral/SC: 12.5–50 mg every 4–8 hours
IM/IV: 12.5–50 mg every 6–8 hours
SC infusion: 5–200 mg/24 hours","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Start with small dose and increase as necessary."
levomepromazine (methotrimeprazine),Methotrimeprazine,"Schizophrenia: Oral, initially 25–50 mg daily, increasing to 100–200 mg in 3 divided doses; maximum dose 1 g daily
Palliative care:
Oral/SC: 12.5–50 mg every 4–8 hours
IM/IV: 12.5–50 mg every 6–8 hours
SC infusion: 5–200 mg/24 hours","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Start with small dose and increase as necessary."
levothyroxine sodium (thyroxine),Levothyroxine,25–300 micrograms daily depending on thyroid hormone levels,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
levothyroxine sodium (thyroxine),Thyroxine,25–300 micrograms daily depending on thyroid hormone levels,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
linagliptin,Linagliptin,5 mg once daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
linezolid,Linezolid,600 mg twice daily,"20–50	75% of dose. Use with caution. See 'Other information'.
10–20	75% of dose. Use with caution. See 'Other information'.
<10	50% of dose. Use with caution. See 'Other information'."
liothyronine sodium (tri-iodothyronine),Liothyronine,"Oral: 10–20 micrograms daily, increased to 60 micrograms in 2–3 divided doses.
IV: 5–20 micrograms every 4–12 hours, or 50 micrograms initially then 25 micrograms every 8 hours, reducing to 25 micrograms twice a day.","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
lipegfilgrastim,Lipegfilgrastim,"6 mg for each chemotherapy cycle, given approximately 24 hours after chemotherapy","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
liraglutide,Liraglutide,0.6–1.8 mg daily,"20–60	Dose as in normal renal function. See ‘Other information’.,
10–20	Dose as in normal renal function. See ‘Other information’.,
<10	Dose as in normal renal function. See ‘Other information’.,"
lisinopril,Lisinopril,"Hypertension: 2.5–80 mg daily
Heart failure: 2.5–35 mg daily
After a myocardial infarction: 2.5–10 mg daily","20–50	Initial dose 2.5 mg daily and titrate according to response.
10–20	Initial dose 2.5 mg daily and titrate according to response.
<10	Initial dose 2.5 mg daily and titrate according to response."
lithium carbonate,Lithium,See individual preparations. Adjust according to lithium plasma concentration.,"20–50	Avoid if possible, or reduce dose to 50–75% and monitor plasma concentration carefully.
10–20	Avoid if possible, or reduce dose to 50–75% and monitor plasma concentration carefully.
<10	Avoid if possible, or reduce dose to 25–50% and monitor plasma concentration carefully."
lixisenatide,Lixisenatide,10–20 mcg once daily,"30–50	Dose as in normal renal function. Use with caution.
10–30	Use lower dose with caution.
<10	Use lower dose with caution."
lofepramine,Lofepramine,140–210 mg daily in 2–3 divided doses,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Start with a small dose and titrate slowly."
lomitapide,Lomitapide,5–60 mg once daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
lomustine,Lomustine,120–130 mg/m2 every 6–8 weeks if used alone; lower dose is used in combination treatment and compromised bone marrow function,"45–60	75% of dose.
30–45	50–70% of dose.
<30	Not recommended. See ‘Other information’."
loperamide hydrochloride,Loperamide,"4 mg stat, then 2 mg after each loose stool; maximum 16 mg daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function. See ‘Other information’."
lopinavir,Lopinavir,"2 tablets twice daily or 4 tablets once daily (in combination with ritonavir, Kaletra®), or 5 mL twice daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
loratadine,Loratadine,10 mg daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
lorazepam,Lorazepam,"Anxiety: 1–4 mg daily in divided doses
Insomnia associated with anxiety: 1–2 mg at bedtime
Acute panic attacks: (IV/IM): 25–30 mcg/kg; repeat 6 hourly if required; usual range 1.5–2.5 mg
Status epilepticus: 4 mg IV repeated once after 10 minutes","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function. Start with small doses."
lormetazepam,Lormetazepam,0.5–1.5 mg at night,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function. Start with small doses.
<10	Dose as in normal renal function. Start with small doses."
losartan potassium,Losartan,"25–100 mg daily
Heart failure: 12.5–150 mg once daily","20–50	Dose as in normal renal function.
10–20	Initial dose 25 mg and titrate according to response.
<10	Initial dose 25 mg and titrate according to response."
loxapine,Loxapine,"4.5–9.1mg as a single dose, a second dose can be given after 2 hours if required","20–50	Start with a low dose and gradually increase.
10–20	Start with a low dose and gradually increase.
<10	Start with a low dose and gradually increase."
