virkestoff,atckode,varenavn
ganciklovir,J05AB06,cymevene
ganciklovir,J05AB06,ganciclovir fresenius kabi
famciklovir,J05AB09,famvir
valaciklovir,J05AB11,valtrex
valaciklovir,J05AB11,valaciclovir sandoz
cidofovir,J05AB12,cidofovir macure
valganciklovir,J05AB14,valganciclovir accord
valganciklovir,J05AB14,valcyte
valganciklovir,J05AB14,valganciclovir medical valley
valganciklovir,J05AB14,valganciclovir sandoz
remdesivir,J05AB16,veklury
foskarnet,J05AD01,foskarnetnatriumheksahydrat tillomed
foskarnet,J05AD01,foscavir campus
ritonavir,J05AE03,ritonavir accord
ritonavir,J05AE03,norvir
atazanavir,J05AE08,atazanavir accord
atazanavir,J05AE08,atazanavir krka
atazanavir,J05AE08,atazanavir accord
darunavir,J05AE10,darunavir accord
darunavir,J05AE10,prezista
darunavir,J05AE10,darunavir krka
nirmatrelvir og ritonavir,J05AE30,paxlovid
zidovudin,J05AF01,retrovir
zidovudin,J05AF01,zidovudine
zidovudin,J05AF01,zidovudin aurobindo nordic pill
lamivudin,J05AF05,epivir
lamivudin,J05AF05,zeffix
abakavir,J05AF06,ziagen
tenofovirdisoproksil,J05AF07,tenofovir disoproxil mylan
emtricitabin,J05AF09,emtriva
entekavir,J05AF10,entecavir accord
entekavir,J05AF10,baraclude
entekavir,J05AF10,entecavir sandoz
entekavir,J05AF10,entecavir mylan
tenofoviralafenamid,J05AF13,vemlidy
nevirapin,J05AG01,viramune
efavirenz,J05AG03,efavirenz sandoz
efavirenz,J05AG03,stocrin
efavirenz,J05AG03,efavirenz sandoz
etravirin,J05AG04,intelence
rilpivirin,J05AG05,rekambys
rilpivirin,J05AG05,edurant
doravirin,J05AG06,pifeltro
zanamivir,J05AH01,dectova
oseltamivir,J05AH02,tamiflu
raltegravir,J05AJ01,isentress
dolutegravir,J05AJ03,tivicay
kabotegravir,J05AJ04,vocabria
ribavirin,J05AP01,rebetol
sofosbuvir,J05AP08,sovaldi
sofosbuvir og ledipasvir,J05AP51,harvoni
elbasvir og grazoprevir,J05AP54,zepatier
sofosbuvir og velpatasvir,J05AP55,epclusa
"sofosbuvir, velpatasvir og voksilaprevir",J05AP56,vosevi
glekaprevir og pibrentasvir,J05AP57,maviret
zidovudin og lamivudin,J05AR01,combivir
lamivudin og abakavir,J05AR02,kivexa
lamivudin og abakavir,J05AR02,abacavir /lamivudin mylan
tenofovirdisoproksil og emtricitabin,J05AR03,emtricitabine/tenofovir disoproxil zentiva
tenofovirdisoproksil og emtricitabin,J05AR03,truvada
tenofovirdisoproksil og emtricitabin,J05AR03,emtricitabine/tenofovir disoproxil mylan
"emtricitabin, tenofovirdisoproksil og efavirenz",J05AR06,efavirenz/emtricitabine/tenofovir disoproxil mylan
"emtricitabin, tenofovirdisoproksil og efavirenz",J05AR06,efavirenz/emtricitabine/tenofovir disoproxil krka
"emtricitabin, tenofovirdisoproksil og efavirenz",J05AR06,padviram
"emtricitabin, tenofovirdisoproksil og rilpivirin",J05AR08,eviplera
"emtricitabin, tenofovirdisoproksil, elvitegravir og kobicistat",J05AR09,stribild
lopinavir og ritonavir,J05AR10,kaletra
"lamivudin, abakavir og dolutegravir",J05AR13,triumeq
darunavir og kobicistat,J05AR14,rezolsta
emtricitabin og tenofoviralafenamid,J05AR17,descovy
"emtricitabin, tenofoviralafenamid, elvitegravir og kobicistat",J05AR18,genvoya
"emtricitabin, tenofoviralafenamid og rilpivirin",J05AR19,odefsey
"emtricitabin, tenofoviralafenamid og biktegravir",J05AR20,biktarvy
dolutegravir og rilpivirin,J05AR21,juluca
"emtricitabin, tenofoviralafenamid, darunavir og kobicistat",J05AR22,symtuza
"lamivudin, tenofovirdisoproksil og doravirin",J05AR24,delstrigo
lamivudin og dolutegravir,J05AR25,dovato
inosin pranobeks,J05AX05,isoprinosine
inosin pranobeks,J05AX05,imunovir
inosin pranobeks,J05AX05,isoprinosine ewo
maravirok,J05AX09,celsentri
maribavir,J05AX10,livtencity
letermovir,J05AX18,prevymis
tekovirimat,J05AX24,tecovirimat siga
favipiravir,J05AX27,fabi flu
bulevirtid,J05AX28,hepcludex
fostemsavir,J05AX29,rukobia
lenakapavir,J05AX31,sunlenca
slangegiftantiserum,J06AA03,viperfav
slangegiftantiserum,J06AA03,viperatab
slangegiftantiserum,J06AA03,viper venom antitoxin
"immunglobulin, normal human, til ekstravaskulær adm",J06BA01,beriglobin
"immunglobulin, normal human, til ekstravaskulær adm",J06BA01,hizentra
"immunglobulin, normal human, til ekstravaskulær adm",J06BA01,hyqvia
"immunglobulin, normal human, til ekstravaskulær adm",J06BA01,cuvitru
"immunglobulin, normal human, til intravaskulær adm.",J06BA02,privigen
"immunglobulin, normal human, til intravaskulær adm.",J06BA02,octagam
"immunglobulin, normal human, til intravaskulær adm.",J06BA02,kiovig
"immunglobulin, normal human, til intravaskulær adm.",J06BA02,panzyga
immunglobulin mot rh-immunisering,J06BB01,rhophylac
immunglobulin mot rh-immunisering,J06BB01,rhesonativ
immunglobulin mot stivkrampe,J06BB02,tetagam p
immunglobulin mot hepatitt b,J06BB04,venbig
immunglobulin mot hepatitt b,J06BB04,hepatect
immunglobulin mot hepatitt b,J06BB04,zutectra
immunglobulin mot hepatitt b,J06BB04,umanbig
immunglobulin mot hundegalskap,J06BB05,berirab p
immunglobulin mot hundegalskap,J06BB05,imogam rabies
bezlotoksumab,J06BC03,zinplava
palivizumab,J06BD01,synagis
tiksagevimab og cilgavimab,J06BD03,evusheld
sotrovimab,J06BD05,xevudy
kasirivimab og imdevimab,J06BD07,ronapreve
"kolera, inaktivert, helcelle",J07AE01,dukoral
"kolera, levende, svekket",J07AE02,vaxchora
"haemophilus influenzae b, renset antigen konjugert",J07AG01,act-hib
"haemophilus influenzae b, renset antigen konjugert",J07AG01,act-hib
"meningokokk a,c,y,w-135, tetravalent renset polysakkarid antigen konjugert",J07AH08,nimenrix
"meningokokk a,c,y,w-135, tetravalent renset polysakkarid antigen konjugert",J07AH08,menveo
"meningokokk b, mulitkomponent vaksine",J07AH09,trumenba
"meningokokk b, mulitkomponent vaksine",J07AH09,bexsero
"kikhoste, renset antigen, kombinasjoner med toksoider",J07AJ52,boostrix
"pneumokokk, renset polysakkarid antigen",J07AL01,pneumovax
"pneumokokk, renset polysakkarid antigen",J07AL01,pneumovax 23
"pneumokokk, renset polysakkarid antigen",J07AL01,pneumococcal polysaccharide vaccine
"pneumokokk, renset polysakkarid antigen konjugert",J07AL02,vaxneuvance
"pneumokokk, renset polysakkarid antigen konjugert",J07AL02,apexxnar
"pneumokokk, renset polysakkarid antigen konjugert",J07AL02,prevenar 13
tetanustoksoid,J07AM01,tetavax
"tetanustoksoid, kombinasjoner med difteritoksoid",J07AM51,ditebooster
"tuberkulose, levende, svekket",J07AN01,bcg-vaksine ajvaccines
"tyfoid, oral, levende, svekket",J07AP01,vivotif
"tyfoid, renset polysakkarid antigen",J07AP03,typhim vi
"encefalitt, skogflåttbåren, inaktivert helvirus",J07BA01,ticovac
"encefalitt, skogflåttbåren, inaktivert helvirus",J07BA01,ticovac junior
"japansk encefalitt, inaktivert helvirus",J07BA02,ixiaro
"influensa, inaktivert, splitvirus eller overflateantigen",J07BB02,fluad tetra
"influensa, inaktivert, splitvirus eller overflateantigen",J07BB02,fluarix tetra
"influensa, inaktivert, splitvirus eller overflateantigen",J07BB02,influvac tetra
"influensa, inaktivert, splitvirus eller overflateantigen",J07BB02,vaxigriptetra
"influensa, levende, svekket",J07BB03,fluenz tetra
"hepatitt b, renset antigen",J07BC01,fendrix
"hepatitt b, renset antigen",J07BC01,hbvaxpro
"hepatitt b, renset antigen",J07BC01,engerix-b
"hepatitt a, inaktivert, helvirus",J07BC02,vaqta
"hepatitt a, inaktivert, helvirus",J07BC02,havrix
kombinasjoner,J07BC20,twinrix adult
kombinasjoner,J07BC20,twinrix paediatric
"meslinger, kombinasjoner med kusma og rubella, levende svekket",J07BD52,m-m-rvaxpro
"meslinger, kombinasjoner med kusma og rubella, levende svekket",J07BD52,priorix
"poliomyelitt, trivalent, inaktivert helvirus",J07BF03,imovax polio
"rabies, inaktivert, helvirus",J07BG01,rabipur
"rabies, inaktivert, helvirus",J07BG01,verorab
"rotavirus, levende, svekket",J07BH01,rotarix
"rotavirus, femverdig, levende, assorterte",J07BH02,rotateq
"varicella, levende, svekket",J07BK01,varilrix
"varicella, levende, svekket",J07BK01,varivax
"zoster, levende svekket",J07BK02,zostavax
"zoster, renset antigen",J07BK03,shingrix
"gulfeber, levende, svekket",J07BL01,stamaril
"papillomavirus (human type 16,18)",J07BM02,cervarix
"papillomavirus (human typer 6, 11, 16, 18, 31, 33, 45, 52, 58)",J07BM03,gardasil 9
"covid-19, rna-basert vaksine",J07BN01,comirnaty
"covid-19, rna-basert vaksine",J07BN01,comirnaty original/omicron ba.4-5
"covid-19, rna-basert vaksine",J07BN01,spikevax bivalent original/omicron ba.1
"covid-19, rna-basert vaksine",J07BN01,spikevax
"covid-19, rna-basert vaksine",J07BN01,spikevax bivalent original/omicron ba. 4-5
"covid-19, rna-basert vaksine",J07BN01,comirnaty original/omicron ba.1
"covid-19, viral vektor, ikke-replikerende",J07BN02,vaxzevria
"covid-19, proteinsubenhet",J07BN04,nuvaxovid
andre virusvaksiner,J07BX,jcovden
koppevaksiner,J07BX01,imvanex
koppevaksiner,J07BX01,jynneos
denguevirusvaksiner,J07BX04,qdenga
difteri-kikhoste-poliomyelitt-tetanus,J07CA02,repevax
difteri-kikhoste-poliomyelitt-tetanus,J07CA02,tetravac
difteri-kikhoste-poliomyelitt-tetanus,J07CA02,boostrix polio
difteri-haemophilus influenzae b-kikhoste-poliomyelitt-tetanus-hepatitt b,J07CA09,infanrix hexa
antineoplastiske midler,L01,picibanil
syklofosfamid,L01AA01,sendoxan
klorambucil,L01AA02,leukeran
melfalan,L01AA03,melphalan macure
melfalan,L01AA03,alkeran
klormetin,L01AA05,ledaga
ifosfamid,L01AA06,holoxan
trofosfamid,L01AA07,ixoten baxter
trofosfamid,L01AA07,ixoten specific
bendamustin,L01AA09,bendamustine fresenius kabi
bendamustin,L01AA09,bendamustine accord
busulfan,L01AB01,busulfan fresenius kabi
busulfan,L01AB01,myleran
busulfan,L01AB01,myleran aspen
treosulfan,L01AB02,trecondi
tiotepa,L01AC01,tepadina
tiotepa,L01AC01,thiotepa riemser
karmustin,L01AD01,carmustine macure
karmustin,L01AD01,carmustine obvius
lomustin,L01AD02,ceenu
lomustin,L01AD02,gleostine
lomustin,L01AD02,lomustine medac
streptozocin,L01AD04,zanosar
temozolomid,L01AX03,temozolomide sun
temozolomid,L01AX03,temodal
temozolomid,L01AX03,temozolomide accord
dakarbazin,L01AX04,dacarbazine
dakarbazin,L01AX04,dacarbazine lipomed
metotreksat,L01BA01,methotrexat
metotreksat,L01BA01,methotrexat medac farma mondo
metotreksat,L01BA01,methotrexat accord
metotreksat,L01BA01,methotrexat-gry
metotreksat,L01BA01,methotrexat-gry farma mondo
metotreksat,L01BA01,ebetrex
metotreksat,L01BA01,emthexate pf
pemetreksed,L01BA04,pemetrexed accord
pemetreksed,L01BA04,alimta
pemetreksed,L01BA04,pemetrexed fresenius kabi
pemetreksed,L01BA04,pemetrexed medac
merkaptopurin,L01BB02,puri-nethol
merkaptopurin,L01BB02,purimmun
merkaptopurin,L01BB02,xaluprine
tioguanin,L01BB03,tioguanine
tioguanin,L01BB03,lanvis
kladribin,L01BB04,litak
fludarabin,L01BB05,fludarabin ebewe
fludarabin,L01BB05,fludara
klofarabin,L01BB06,evoltra
cytarabin,L01BC01,cytarabin fresenius kabi
cytarabin,L01BC01,cytarabine stada
fluorouracil,L01BC02,tolak
fluorouracil,L01BC02,efudix specific
fluorouracil,L01BC02,fluorouracil accord
fluorouracil,L01BC02,efudix
gemcitabin,L01BC05,gemcitabine accord
gemcitabin,L01BC05,gemkabi
kapecitabin,L01BC06,capecitabine accord
kapecitabin,L01BC06,xeloda
azacitidin,L01BC07,azacitidine stada
azacitidin,L01BC07,azacitidine accord
azacitidin,L01BC07,azacitidine accord
azacitidin,L01BC07,vidaza
decitabin,L01BC08,dacogen
"fluorouracil, kombinasjoner",L01BC52,actikerall
"tegafur, kombinasjoner",L01BC53,teysuno
"trifluridin, kombinasjoner",L01BC59,lonsurf
vinblastin,L01CA01,velbe
vinkristin,L01CA02,vincristine pfizer
vindesin,L01CA03,eldisine
vindesin,L01CA03,eldisine orifarm
vinorelbin,L01CA04,vinorelbine orifarm
vinorelbin,L01CA04,navelbine
vinorelbin,L01CA04,vinorelbin ebewe
vinorelbin,L01CA04,vinorelbin accord
vinorelbin,L01CA04,navirel
vinflunin,L01CA05,javlor
etoposid,L01CB01,etoposide accord
etoposid,L01CB01,etopophos orifarm
etoposid,L01CB01,vepesid
etoposid,L01CB01,etoposid ebewe
etoposid,L01CB01,etopophos farma mondo
etoposid,L01CB01,eto-gry
etoposid,L01CB01,etoposide accord
etoposid,L01CB01,etoposide sandoz
etoposid,L01CB01,etoposid fresenius kabi
paklitaksel,L01CD01,abraxane
paklitaksel,L01CD01,paclitaxel fresenius kabi
paklitaksel,L01CD01,paclitaxel accord
paklitaksel,L01CD01,pazenir
docetaksel,L01CD02,docetaxel kabi
docetaksel,L01CD02,docetaxel accord
kabazitaksel,L01CD04,cabazitaxel stada
kabazitaksel,L01CD04,jevtana
topotekan,L01CE01,hycamtin
topotekan,L01CE01,topotecan accord
topotekan,L01CE01,topotecan ebewe
irinotekan,L01CE02,irinotecan fresenius kabi
irinotekan,L01CE02,irinotecan accord
trabektedin,L01CX01,yondelis
daktinomycin,L01DA01,lyovac-cosmegen farma mondo
daktinomycin,L01DA01,cosmegen orifarm
doksorubicin,L01DB01,caelyx pegylated liposomal
doksorubicin,L01DB01,adriamycin
doksorubicin,L01DB01,doxorubicin accord
doksorubicin,L01DB01,doxorubicin ebewe
daunorubicin,L01DB02,cerubidin
epirubicin,L01DB03,epirubicin accord
epirubicin,L01DB03,epirubicin medac
idarubicin,L01DB06,zavedos oral
idarubicin,L01DB06,idarubicin accord
idarubicin,L01DB06,zavedos
mitoksantron,L01DB07,mitoxantron ebewe
mitoksantron,L01DB07,novantrone
piksantron,L01DB11,pixuvri
bleomycin,L01DC01,bleomycin baxter
mitomycin,L01DC03,mitomycin medac
mitomycin,L01DC03,mitomycin medac farma mondo
mitomycin,L01DC03,mitomycin sa
imatinib,L01EA01,imatinib sandoz
imatinib,L01EA01,imatinib accord
imatinib,L01EA01,glivec
imatinib,L01EA01,imatinib teva
dasatinib,L01EA02,sprycel
dasatinib,L01EA02,dasatinib sandoz
dasatinib,L01EA02,dasatinib teva
nilotinib,L01EA03,tasigna
bosutinib,L01EA04,bosulif
ponatinib,L01EA05,iclusig
askiminib,L01EA06,scemblix
gefitinib,L01EB01,gefitinib accord
gefitinib,L01EB01,gefitinib stada
gefitinib,L01EB01,gefitinib mylan
erlotinib,L01EB02,tarceva
afatinib,L01EB03,giotrif
osimertinib,L01EB04,tagrisso
dakomitinib,L01EB07,vizimpro
vemurafenib,L01EC01,zelboraf
dabrafenib,L01EC02,tafinlar
enkorafenib,L01EC03,braftovi
krizotinib,L01ED01,xalkori
ceritinib,L01ED02,zykadia
alektinib,L01ED03,alecensa
brigatinib,L01ED04,alunbrig
lorlatinib,L01ED05,lorviqua
trametinib,L01EE01,mekinist
kobimetinib,L01EE02,cotellic
binimetinib,L01EE03,mektovi
selumetinib,L01EE04,koselugo
palbociklib,L01EF01,ibrance
ribosiklib,L01EF02,kisqali
abemasiklib,L01EF03,verzenios
everolimus,L01EG02,votubia
everolimus,L01EG02,afinitor
lapatinib,L01EH01,tyverb
neratinib,L01EH02,nerlynx
tukatinib,L01EH03,tukysa
ruksolitinib,L01EJ01,jakavi
fedratinib,L01EJ02,inrebic
aksitinib,L01EK01,inlyta
tivozanib,L01EK03,fotivda
ibrutinib,L01EL01,imbruvica
akalabrutinib,L01EL02,calquence
zanubrutinib,L01EL03,brukinsa
idelalisib,L01EM01,zydelig
alpelisib,L01EM03,piqray
pemigatinib,L01EN02,pemazyre
sunitinib,L01EX01,sunitinib sandoz
sunitinib,L01EX01,sunitinib newbury
sunitinib,L01EX01,sunitinib teva
sunitinib,L01EX01,sutent
sunitinib,L01EX01,sunitinib accord
sorafenib,L01EX02,nexavar
pazopanib,L01EX03,votrient
vandetanib,L01EX04,caprelsa
regorafenib,L01EX05,stivarga
kabozantinib,L01EX07,cometriq
kabozantinib,L01EX07,cabometyx
lenvatinib,L01EX08,lenvima
lenvatinib,L01EX08,kisplyx
nintedanib,L01EX09,ofev
midostaurin,L01EX10,rydapt
larotrektinib,L01EX12,vitrakvi
gilteritinib,L01EX13,xospata
entrektinib,L01EX14,rozlytrek
kapmatinib,L01EX17,tabrecta
tepotinib,L01EX21,tepmetko
selperkatinib,L01EX22,retsevmo
pralsetinib,L01EX23,gavreto
rituksimab,L01FA01,mabthera
rituksimab,L01FA01,rixathon
obinutuzumab,L01FA03,gazyvaro
inotuzumabozogamicin,L01FB01,besponsa
daratumumab,L01FC01,darzalex
isatuksimab,L01FC02,sarclisa
trastuzumab,L01FD01,herceptin
trastuzumab,L01FD01,kanjinti
trastuzumab,L01FD01,trazimera
pertuzumab,L01FD02,perjeta
trastuzumabemtansin,L01FD03,kadcyla
trastuzumabderukstekan,L01FD04,enhertu
cetuksimab,L01FE01,erbitux
panitumumab,L01FE02,vectibix
nivolumab,L01FF01,opdivo
pembrolizumab,L01FF02,keytruda
durvalumab,L01FF03,imfinzi
avelumab,L01FF04,bavencio
atezolizumab,L01FF05,tecentriq
cemiplimab,L01FF06,libtayo
dostarlimab,L01FF07,jemperli
bevacizumab,L01FG01,avastin
bevacizumab,L01FG01,alymsys
bevacizumab,L01FG01,aybintio
ramucirumab,L01FG02,cyramza
gemtuzumabozogamicin,L01FX02,mylotarg
ipilimumab,L01FX04,yervoy
brentuksimabvedotin,L01FX05,adcetris
dinutuksimab beta,L01FX06,qarziba
blinatumomab,L01FX07,blincyto
elotuzumab,L01FX08,empliciti
mogamulizumab,L01FX09,poteligeo
tafasitamab,L01FX12,minjuvi
enfortumabvedotin,L01FX13,padcev
polatuzumabvedotin,L01FX14,polivy
belantamabmafodotin,L01FX15,blenrep
sacituzumabgovitekan,L01FX17,trodelvy
amivantamab,L01FX18,rybrevant
teklistamab,L01FX24,tecvayli
mosunetuzumab,L01FX25,lunsumio
cisplatin,L01XA01,cisplatin accord
karboplatin,L01XA02,carboplatin fresenius kabi
karboplatin,L01XA02,carboplatin accord
oksaliplatin,L01XA03,oksaliplatin sun
oksaliplatin,L01XA03,oxaliplatin fresenius kabi
prokarbazin,L01XB01,natulan cd pharmaceuticals
prokarbazin,L01XB01,natulan
prokarbazin,L01XB01,natulan orifarm
metylaminolevulinat,L01XD03,metvix
aminolevulinsyre,L01XD04,gliolan
aminolevulinsyre,L01XD04,ameluz
tretinoin,L01XF01,vesanoid specific
tretinoin,L01XF01,vesanoid euromedica
tretinoin,L01XF01,vesanoid orifarm
beksaroten,L01XF03,targretin
bortezomib,L01XG01,bortezomib mylan
bortezomib,L01XG01,bortezomib stada
bortezomib,L01XG01,bortezomib accord
bortezomib,L01XG01,bortezomib mylan
bortezomib,L01XG01,velcade
karfilzomib,L01XG02,kyprolis
iksazomib,L01XG03,ninlaro
vorinostat,L01XH01,zolinza
panobinostat,L01XH03,farydak
vismodegib,L01XJ01,erivedge
sonidegib,L01XJ02,odomzo
olaparib,L01XK01,lynparza
niraparib,L01XK02,zejula
talazoparib,L01XK04,talzenna
talimogenlaherparepvek,L01XL02,imlygic
aksikabtagenciloleucel,L01XL03,yescarta
tisagenlekleucel,L01XL04,kymriah
amsakrin,L01XX01,amekrin
asparaginase,L01XX02,asparaginase
asparaginase,L01XX02,erwinase campus
hydroksykarbamid,L01XX05,hydroxyurea medac
hydroksykarbamid,L01XX05,xromi farma mondo
hydroksykarbamid,L01XX05,siklos
hydroksykarbamid,L01XX05,hydroxycarbamide ascot
hydroksykarbamid,L01XX05,hydrea
hydroksykarbamid,L01XX05,xromi
mitotan,L01XX23,lysodren
pegaspargase,L01XX24,oncaspar
arsentrioksid,L01XX27,trisenox
arsentrioksid,L01XX27,arsenic trioxide accord
anagrelid,L01XX35,anagrelide bluefish
anagrelid,L01XX35,xagrid
anagrelid,L01XX35,anagrelide sandoz
eribulin,L01XX41,halaven
venetoklaks,L01XX52,venclyxto
sotorasib,L01XX73,lumykras
cytarabin og daunorubicin,L01XY01,vyxeos liposomal
pertuzumab og trastuzumab,L01XY02,phesgo
nivolumab og relatlimab,L01XY03,opdualag
megestrol,L02AB01,megace
megestrol,L02AB01,megestil
megestrol,L02AB01,borea
leuprorelin,L02AE02,leuprorelinacetat aurora medical
leuprorelin,L02AE02,eligard
leuprorelin,L02AE02,procren depot
leuprorelin,L02AE02,enanton depot dual
leuprorelin,L02AE02,leuprorelin sandoz
leuprorelin,L02AE02,procren depot pds
goserelin,L02AE03,zoladex
triptorelin,L02AE04,pamorelin
triptorelin,L02AE04,gonapeptyl
tamoksifen,L02BA01,nolvadex-d
tamoksifen,L02BA01,nolvadex
tamoksifen,L02BA01,tamoxifen al
tamoksifen,L02BA01,tamoxifen mylan
tamoksifen,L02BA01,tamoxifen sandoz
fulvestrant,L02BA03,faslodex
fulvestrant,L02BA03,fulvestrant medical valley
fulvestrant,L02BA03,fulvestrant accord
fulvestrant,L02BA03,fulvestrant sun
flutamid,L02BB01,flutamid orion
bikalutamid,L02BB03,bicalutamide bluefish
bikalutamid,L02BB03,casodex
enzalutamid,L02BB04,xtandi
apalutamid,L02BB05,erleada
darolutamid,L02BB06,nubeqa
anastrozol,L02BG03,anastrozol medical valley
anastrozol,L02BG03,arimidex
letrozol,L02BG04,femara
letrozol,L02BG04,letrozol medical valley
letrozol,L02BG04,femar
letrozol,L02BG04,letrozol orifarm
letrozol,L02BG04,letrozol accord
letrozol,L02BG04,letrozol accord
eksemestan,L02BG06,exemestan sandoz
eksemestan,L02BG06,aromasin
degareliks,L02BX02,firmagon
abirateron,L02BX03,abirateron sandoz
abirateron,L02BX03,zytiga
abirateron,L02BX03,abiraterone qilu
abirateron,L02BX03,abiraterone accord
abirateron,L02BX03,abiraterone glenmark
abirateron,L02BX03,abiraterone stada
filgrastim,L03AA02,neupogen
filgrastim,L03AA02,zarzio
filgrastim,L03AA02,accofil
filgrastim,L03AA02,nivestim
pegfilgrastim,L03AA13,ziextenzo
pegfilgrastim,L03AA13,pelgraz
pegfilgrastim,L03AA13,neulasta
lipegfilgrastim,L03AA14,lonquex
interferon gamma,L03AB03,imukin
interferon beta-1a,L03AB07,rebif
interferon beta-1a,L03AB07,avonex
interferon beta-1b,L03AB08,betaferon
peginterferon alfa-2a,L03AB11,pegasys
peginterferon beta-1a,L03AB13,plegridy
ropeginterferon alfa-2b,L03AB15,besremi
bcg vaksine,L03AX03,bcg-medac
bcg vaksine,L03AX03,oncotice
glatirameracetat,L03AX13,copaxone
glatirameracetat,L03AX13,copemyl
histamindihydroklorid,L03AX14,ceplene
pleriksafor,L03AX16,mozobil
elapegademase,L03AX21,revcovi
antilymfocyttimmunglobulin (hest),L04AA03,atgam
antitymocyttimmunglobulin (kanin),L04AA04,grafalon
antitymocyttimmunglobulin (kanin),L04AA04,thymoglobuline
mykofenolsyre,L04AA06,mykofenolsyre accord
mykofenolsyre,L04AA06,mycophenolatemofetil accord
mykofenolsyre,L04AA06,myfortic
mykofenolsyre,L04AA06,cellcept
mykofenolsyre,L04AA06,mykofenolat accord
mykofenolsyre,L04AA06,myfenax
mykofenolsyre,L04AA06,mykofenolatmofetil accord
sirolimus,L04AA10,sirolimus apotheke roter ochsen
sirolimus,L04AA10,rapamune
leflunomid,L04AA13,leflunomide zentiva
leflunomid,L04AA13,leflunomide medac
leflunomid,L04AA13,leflunomide zentiva
leflunomid,L04AA13,arava
everolimus,L04AA18,certican
natalizumab,L04AA23,tysabri
abatacept,L04AA24,orencia
ekulizumab,L04AA25,soliris
belimumab,L04AA26,benlysta
fingolimod,L04AA27,gilenya
fingolimod,L04AA27,fingolimod mylan
fingolimod,L04AA27,fingolimod teva
fingolimod,L04AA27,fingolimod accord
belatacept,L04AA28,nulojix
tofacitinib,L04AA29,xeljanz
teriflunomid,L04AA31,aubagio
apremilast,L04AA32,otezla
vedolizumab,L04AA33,entyvio
alemtuzumab,L04AA34,lemtrada
okrelizumab,L04AA36,ocrevus
baricitinib,L04AA37,olumiant
ozanimod,L04AA38,zeposia
kladribin,L04AA40,mavenclad
imlifidase,L04AA41,idefirix
ravulizumab,L04AA43,ultomiris
upadacitinib,L04AA44,rinvoq
filgotinib,L04AA45,jyseleca
ponesimod,L04AA50,ponvory
anifrolumab,L04AA51,saphnelo
ofatumumab,L04AA52,kesimpta
pegcetakoplan,L04AA54,aspaveli
sutimlimab,L04AA55,enjaymo
avakopan,L04AA59,tavneos
etanercept,L04AB01,enbrel
etanercept,L04AB01,erelzi
etanercept,L04AB01,benepali
infliksimab,L04AB02,remicade
infliksimab,L04AB02,zessly
infliksimab,L04AB02,remsima
infliksimab,L04AB02,inflectra
infliksimab,L04AB02,flixabi
adalimumab,L04AB04,humira
adalimumab,L04AB04,hyrimoz
adalimumab,L04AB04,imraldi
certolizumab pegol,L04AB05,cimzia
golimumab,L04AB06,simponi
basiliksimab,L04AC02,simulect
anakinra,L04AC03,kineret
ustekinumab,L04AC05,stelara
tocilizumab,L04AC07,roactemra
kanakinumab,L04AC08,ilaris
sekukinumab,L04AC10,cosentyx
siltuksimab,L04AC11,sylvant
brodalumab,L04AC12,kyntheum
iksekizumab,L04AC13,taltz
sarilumab,L04AC14,kevzara
guselkumab,L04AC16,tremfya
tildrakizumab,L04AC17,ilumetri
risankizumab,L04AC18,skyrizi
satralizumab,L04AC19,enspryng
bimekizumab,L04AC21,bimzelx
spesolimab,L04AC22,spevigo
ciklosporin,L04AD01,sandimmun neoral
ciklosporin,L04AD01,sandimmun
takrolimus,L04AD02,advagraf
takrolimus,L04AD02,adport
takrolimus,L04AD02,envarsus
takrolimus,L04AD02,tacni
takrolimus,L04AD02,prograf
takrolimus,L04AD02,modigraf
voklosporin,L04AD03,lupkynis
azatioprin,L04AX01,imurel
azatioprin,L04AX01,azatioprin sa
talidomid,L04AX02,thalidomide bms
metotreksat,L04AX03,methotrexate sanoswiss
metotreksat,L04AX03,methofill
metotreksat,L04AX03,nordimet
metotreksat,L04AX03,metex
metotreksat,L04AX03,methotrexate pfizer
metotreksat,L04AX03,methotrexate rosemont
metotreksat,L04AX03,jylamvo
metotreksat,L04AX03,methotrexate cipla
lenalidomid,L04AX04,lenalidomide sandoz
lenalidomid,L04AX04,lenalidomide mylan
lenalidomid,L04AX04,lenalidomid zentiva
lenalidomid,L04AX04,revlimid
pirfenidon,L04AX05,pirfenidone sandoz
pirfenidon,L04AX05,esbriet
pomalidomid,L04AX06,imnovid
dimetylfumarat,L04AX07,tecfidera
dimetylfumarat,L04AX07,dimethyl fumarate neuraxpharm
dimetylfumarat,L04AX07,dimethyl fumarate sandoz
dimetylfumarat,L04AX07,skilarence
darvadstrocel,L04AX08,alofisel
diroksimelfumarat,L04AX09,vumerity
muskler og skjelett,M,arnica planta tota d3 weleda
fenylbutazon,M01AA01,fenylbutazon oba
indometacin,M01AB01,indometacine aurobindo
indometacin,M01AB01,indometacin actavis
indometacin,M01AB01,indo-ct
indometacin,M01AB01,indometacin aliud
indometacin,M01AB01,indoxen
indometacin,M01AB01,indomet ratiopharm
indometacin,M01AB01,indometacin accord
indometacin,M01AB01,liometacen
indometacin,M01AB01,indocid
indometacin,M01AB01,indometacin crescent
indometacin,M01AB01,indometacine cf
sulindak,M01AB02,arthrocine
diklofenak,M01AB05,diclo 1a pharma
