,ICD_code,diagnosis
12528,T654,Toksisk virkning av karbondisulfid
12529,T655,Toksisk virkning av nitroglyserin eller andre nitrogensyrer eller -estere
12530,T656,"Toksisk virkning av maling eller fargestoff, ikke klassifisert annet sted"
12531,T658,Toksisk virkning av annet spesifisert stoff
12532,T659,Toksisk virkning av uspesifisert stoff
12533,T66,Uspesifisert tilstand som skyldes stråling
12534,T670,Heteslag eller solstikk
12535,T671,Besvimelse forårsaket av varme
12536,T672,Hetekramper
12537,T673,Varmeutmattelse som skyldes væsketap
12538,T674,Varmeutmattelse som skyldes salttap
12539,T675,Uspesifisert varmeutmattelse
12540,T676,Forbigående tretthet som skyldes varme
12541,T677,Varmeødem
12542,T678,Annen spesifisert tilstand som skyldes påvirkning av varme eller lys
12543,T679,Uspesifisert tilstand som skyldes påvirkning av varme eller lys
12544,T68,Hypotermi
12545,T690,Immersjonshånd og -fot
12546,T691,Frostknute
12547,T698,Annen spesifisert tilstand som skyldes nedsatt omgivelsestemperatur
12548,T699,Uspesifisert tilstand som skyldes nedsatt omgivelsestemperatur
12549,T700,Otittisk barotraume
12550,T701,Barotraume i bihule
12551,T702,Annen eller uspesifisert virkning av stor høyde over havet
12552,T703,Trykkfallsyke
12553,T704,Virkninger av høytrykksvæske
12554,T708,Annen spesifisert virkninger av lufttrykk eller vanntrykk
12555,T709,Uspesifisert virkning av lufttrykk eller vanntrykk
12556,T71,Asfyksi
12557,T730,Virkning av hunger
12558,T731,Virkning av tørste
12559,T732,Utmattelse på grunn av klimatisk påkjenning
12560,T733,Utmattelse på grunn av overdreven anstrengelse
12561,T738,Annen spesifisert deprivasjonseffekt
12562,T739,Uspesifisert deprivasjonseffekt
12563,T740,Vanskjøtsel
12564,T741,Fysisk mishandling
12565,T742,Seksuell mishandling
12566,T743,Psykisk mishandling
12567,T748,Annen spesifisert mishandlingssyndrom
12568,T749,Uspesifisert mishandlingssyndrom
12569,T750,Virkning av lynnedslag
12570,T751,Drukning eller nestendrukning
12571,T752,Virkninger av vibrasjon
12572,T753,Bevegelsessyke
12573,T754,Skadevirkning av elektrisk kraft
12574,T758,Annen spesifisert skadevirkning av annen ytre påvirkning
12575,T76,Uspesifisert virkning av ytre årsak
12576,T780,Anafylaktisk sjokk som skyldes reaksjon på matvare
12577,T781,Annen reaksjon på matvare ikke klassifisert annet sted
12578,T782,Uspesifisert anafylaktisk sjokk
12579,T783,Angionevrotisk ødem
12580,T784,Uspesifisert allergi
12581,T788,Annen spesifisert skadevirkning ikke klassifisert annet sted
12582,T789,Uspesifisert skadevirkning
12583,T790,Traumatisk luftemboli
12584,T791,Traumatisk fettemboli
12585,T792,Traumatisk sekundær eller residiverende blødning
12586,T793,Posttraumatisk sårinfeksjon ikke klassifisert annet sted
12587,T794,Traumatisk sjokk
12588,T795,Traumatisk anuri
12589,T796,Traumatisk iskemi i muskel
12590,T797,Traumatisk subkutant emfysem
12591,T798,Annen spesifisert tidlig komplikasjon til traume
12592,T799,Uspesifisert tidlig komplikasjon til traume
12593,T800,"Luftemboli etter infusjon, transfusjon eller terapeutisk injeksjon"
12594,T801,"Komplikasjon i blodkar etter infusjon, transfusjon eller terapeutisk injeksjon"
12595,T802,"Infeksjon etter infusjon, transfusjon eller terapeutisk injeksjon"
12596,T803,ABO-uforlikelighetsreaksjon
12597,T804,Rh-uforlikelighetsreaksjon
12598,T805,Anafylaktisk sjokk som skyldes serumbehandling
12599,T806,Annen serumreaksjon
12600,T808,"Annen spesifisert komplikasjon etter infusjon, transfusjon eller terapeutisk injeksjon"
12601,T809,"Uspesifisert komplikasjon etter infusjon, transfusjon eller terapeutisk injeksjon"
12602,T810,"Blødning eller hematom som komplikasjon til kirurgiske eller medisinske prosedyrer, ikke klassifisert annet sted"
12603,T811,"Sjokk under eller som følge av kirurgiske eller medisinske prosedyrer, ikke klassifisert annet sted"
12604,T812,"Utilsiktet punksjon eller laserasjon under kirurgiske eller medisinske prosedyrer, ikke klassifisert annet sted"
12605,T813,Sårruptur ikke klassifisert annet sted
12606,T814,Infeksjon etter kirurgiske eller medisinske prosedyrer ikke klassifisert annet sted
12607,T815,Fremmedlegeme utilsiktet etterlatt i kroppshule eller operasjonssår etter kirurgiske eller medisinske prosedyrer
12608,T816,Akutt reaksjon mot fremmed stoff utilsiktet etterlatt under kirurgiske eller medisinske prosedyrer
12609,T817,Komplikasjon i blodkar etter kirurgiske eller medisinske prosedyrer ikke klassifisert annet sted
12610,T818,Annen spesifisert komplikasjon til kirurgiske eller medisinske prosedyrer ikke klassifisert annet sted
12611,T819,Uspesifisert komplikasjon til kirurgiske eller medisinske prosedyrer
12612,T820,Mekanisk komplikasjon ved hjerteklaffprotese
12613,T821,Mekanisk komplikasjon av elektronisk hjertestimulator
12614,T822,Mekanisk komplikasjon ved koronararteriebypass eller klaffebærende transplantat
12615,T823,Mekanisk komplikasjon ved annnet kartransplantat
12616,T824,Mekanisk komplikasjon ved dialysekateter i blodkar
12617,T825,Mekanisk komplikasjon ved annen innretning eller implantat i hjerte eller blodkar
12618,T826,Infeksjon eller betennelsesreaksjon som skyldes hjerteklaffprotese
12619,T827,"Infeksjon eller betennelsesreaksjon som skyldes andre innretning, implantat eller transplantat i hjerte eller blodkar"
12620,T828,"Annen spesifisert komplikasjon ved protese, implantat eller transplantat i hjerte eller blodkar"
12621,T829,"Uspesifisert komplikasjon ved protese, implantat eller transplantat i hjerte og blodkar"
12622,T830,Mekanisk komplikasjon ved kateter i urinveier
12623,T831,Mekanisk komplikasjon ved annen innretning eller implantat i urinveier
12624,T832,Mekanisk komplikasjon ved urinorgantransplantat
12625,T833,Mekanisk komplikasjon ved intrauterint prevensjonsmiddel
12626,T834,"Mekanisk komplikasjon ved annen protese, implantat eller transplantat i kjønnsorganer"
12627,T835,"Infeksjon eller betennelsesreaksjon som skyldes protese, implantat eller transplantat i urinveier"
12628,T836,"Infeksjon eller betennelsesreaksjon som skyldes protese, implantat eller transplantat i kjønnsorganer"
12629,T838,"Annen spesifisert komplikasjon ved protese, implantat eller transplantat i kjønnsorganer eller urinveier"
12630,T839,"Uspesifisert komplikasjon ved protese, implantat eller transplantat i kjønnsorganer eller urinveier"
12631,T840,Mekanisk komplikasjon ved innvendig leddprotese
12632,T841,Mekanisk komplikasjon ved innvendig fiksasjonsanordning for knokler i ekstremitet
12633,T842,Mekanisk komplikasjon ved innvendig fiksasjonsanordning for andre knokler
12634,T843,"Mekanisk komplikasjon ved annen innretning, implantat eller transplantat i knokkel"
12635,T844,"Mekanisk komplikasjon ved annen innvendig ortopedisk protese, implantat eller transplantat"
12636,T845,Infeksjon eller betennelsesreaksjon som skyldes innvendig leddprotese
12637,T846,Infeksjon eller betennelsesreaksjon som skyldes innvendig fiksasjonsanordning
12638,T847,"Infeksjon eller betennelsesreaksjon som skyldes annen innvendig ortopedisk protese, implantat eller transplantat"
12639,T848,"Annen spesifisert komplikasjon ved innvendig ortopedisk protese, implantat eller transplantat"
12640,T849,"Uspesifisert komplikasjon ved innvendig ortopedisk protese, implantat eller transplantat"
12641,T850,Mekanisk komplikasjon til shunt fra hjerneventrikkel
12642,T851,Mekanisk komplikasjon ved implantert elektronisk stimulator i nervesystemet
12643,T852,Mekanisk komplikasjon ved kunstig linse
12644,T853,"Mekanisk komplikasjon ved annen protese, implantat eller transplantat i øye"
12645,T854,Mekanisk komplikasjon ved brystprotese eller -implantat
12646,T855,"Mekanisk komplikasjon ved protese, implantat eller transplantat i fordøyelsesorganer"
12647,T856,"Mekanisk komplikasjon ved annen spesifisert innvendig protese, implantat eller transplantat"
12648,T857,"Infeksjon eller betennelsesreaksjon som skyldes annen innvendig protese, implantat eller transplantat"
12649,T858,"Annen spesifisert komplikasjon ved innvendig protese, implantat eller transplantat, ikke klassifisert annet sted"
12650,T859,"Uspesifisert komplikasjon ved innvendig protese, implantat eller transplantat"
12651,T860,Transplantat-mot-vert-sykdom
12652,T861,Funksjonssvikt eller avstøting av nyretransplantat
12653,T862,Funksjonssvikt eller avstøting av hjertetransplantat
12654,T863,Funksjonssvikt eller avstøting av hjerte-lunge-transplantat
12655,T864,Funksjonssvikt eller avstøting av levertransplantat
12656,T868,Funksjonssvikt eller avstøting av annet spesifisert transplantert organ eller vev
12657,T869,Funksjonssvikt eller avstøting av uspesifisert transplantert organ eller vev
12658,T870,Komplikasjon ved reimplantasjon av hele eller del av overekstremitet
12659,T871,Komplikasjon ved reimplantasjon av hele eller del av underekstremitet
12660,T872,Komplikasjon ved reimplantasjon av annen kroppsdel
12661,T873,Amputasjonsnevrom
12662,T874,Infeksjon i amputasjonsstump
12663,T875,Nekrose i amputasjonsstump
12664,T876,Annen eller uspesifisert komplikasjon i amputasjonsstump
12665,T880,Infeksjon etter vaksinasjon
12666,T881,Annen komplikasjon etter vaksinasjon ikke klassifisert annet sted
12667,T882,Sjokk som skyldes anestesi
12668,T883,Ondartet hypertermi som skyldes anestesi
12669,T884,Mislykket eller vanskelig intubasjon
12670,T885,Annen komplikasjon ved anestesi
12671,T886,Anafylaktisk sjokk som skyldes bivirkning av riktig legemiddel gitt i terapeutisk dose
12672,T888,"Annen spesifisert komplikasjon til kirurgisk eller medisinsk behandling, ikke klassifisert annet sted"
12673,T889,Uspesifisert komplikasjon til kirurgisk eller medisinsk behandling
12674,T900,Følgetilstand etter overflateskade på hode
12675,T901,Følgetilstand etter åpent sår i hode
12676,T902,Følgetilstand etter brudd på knokkel i skalle eller ansikt
12677,T903,Følgetilstand etter skade på hjernenerve
12678,T904,Følgetilstand etter skade på øye eller øyehule
12679,T905,Følgetilstand etter intrakraniell skade
12680,T908,Følgetilstand etter annen spesifisert hodeskade
12681,T909,Følgetilstand etter uspesifisert hodeskade
12682,T910,Følgetilstand etter overflateskade eller åpent sår på hals eller trunkus
12683,T911,Følgetilstand etter brudd i ryggsøyle
12684,T912,Følgetilstand etter annet brudd i brystkasse eller bekken
12685,T913,Følgetilstand etter skade på ryggmarg
12686,T914,Følgetilstand etter skade i intratorakalt organ
12687,T915,Følgetilstand etter skade i organ i bukhule eller bekken
12688,T918,Følgetilstand etter annen spesifisert skade på hals eller trunkus
12689,T919,Følgetilstand etter uspesifisert skade på hals eller trunkus
12690,T920,Følgetilstand etter åpent sår på overekstremitet
12691,T921,Følgetilstand etter brudd i arm
12692,T922,Følgetilstand etter brudd i håndledds- eller håndregion
12693,T923,"Følgetilstand etter dislokasjon, forstuving eller forstrekking av overekstremitet"
12694,T924,Følgetilstand etter skade på nerve i overekstremitet
12695,T925,Følgetilstand etter skade i muskel eller sene i overekstremitet
12696,T926,Følgetilstand etter knusningsskade eller traumatisk amputasjon av overekstremitet
12697,T928,Følgetilstand etter annen spesifisert skade i overekstremitet
12698,T929,Følgetilstand etter uspesifisert skade i overekstremitet
12699,T930,Følgetilstand etter åpent sår på underekstremitet
12700,T931,Følgetilstand etter brudd i lårben
12701,T932,Følgetilstand etter annet brudd i underekstremitet
12702,T933,"Følgetilstand etter dislokasjon, forstuving eller forstrekking av underekstremitet"
12703,T934,Følgetilstand etter skade på nerve i underekstremitet
12704,T935,Følgetilstand etter skade i muskel eller sene i underekstremitet
12705,T936,Følgetilstand etter knusningsskade eller traumatisk amputasjon av underekstremitet
12706,T938,Følgetilstand etter annen spesifisert skader i underekstremitet
12707,T939,Følgetilstand etter uspesifisert skade i underekstremitet
12708,T940,Følgetilstand etter skade som omfatter flere kroppsregioner
12709,T941,Følgetilstand etter skade i uspesifisert kroppsregion
12710,T950,"Følgetilstand etter brannskade, etseskade eller frostskade på hode eller hals"
12711,T951,"Følgetilstand etter brannskade, etseskade eller frostskade på trunkus"
12712,T952,"Følgetilstand etter brannskade, etseskade eller frostskade på overekstremitet"
12713,T953,"Følgetilstand etter brannskade, etseskade eller frostskade på underekstremitet"
12714,T954,Følgetilstand etter brannskade eller etseskade som kun kan klassifiseres etter størrelse på berørt kroppsoverflate
12715,T958,"Følgetilstand etter annen spesifisert brannskade, etseskade eller frostskade"
12716,T959,"Følgetilstand etter uspesifisert brannskade, etseskade eller frostskade"
12717,T96,Følgetilstand etter forgiftning med legemiddel eller biologiske substans
12718,T97,Følgetilstand etter toksisk virkning av substans med hovedsakelig ikke-medisinsk anvendelse
12719,T980,Følgetilstand etter fremmedlegeme som har trengt inn gjennom naturlig åpning
12720,T981,Følgetilstand etter annen eller uspesifisert ytre påvirkning
12721,T982,Følgetilstand etter annen tidlig komplikasjon til traume
12722,T983,"Følgetilstand etter komplikasjon til kirurgisk eller medisinsk behandling, ikke klassifisert annet sted"
12723,U049,"Uspesifisert alvorlig, akutt luftveissyndrom (sars)"
12724,U070,Forstyrrelse relatert til bruk av e-sigarett
12725,U071,Covid-19 med påvist virus
12726,U072,Covid-19 uten påvist virus
12727,U073,Bruk av U07.3 for beredskapsformål
12728,U074,Bruk av U07.4 for beredskapsformål
12729,U075,Bruk av U07.5 for beredskapsformål
12730,U076,Bruk av U07.6 for beredskapsformål
12731,U077,Bruk av U07.7 for beredskapsformål
12732,U078,Bruk av U07.8 for beredskapsformål
12733,U079,Bruk av U07.9 for beredskapsformål
12734,U820,Resistens mot penicillin
12735,U821,Resistens mot methicillin
12736,U822,Ekstendert spektrum betalaktamaseresistens (ESBL)
12737,U828,Resistens mot andre betalaktamantibiotika
12738,U829,Resistens mot uspesifiserte betalaktamantibiotika
12739,U830,Resistens mot vancomycin
12740,U831,Resistens mot andre vancomycinrelaterte antibiotika
12741,U832,Resistens mot kinoloner
12742,U837,Resistens mot multiple antibiotika
12743,U838,Resistens mot annet spesifisert enkeltantibiotikum
12744,U839,Resistens mot uspesifisert antibiotikum
12745,U840,Resistens mot antiparasittmiddel
12746,U841,Resistens mot antimykotisk legemiddel
12747,U842,Resistens mot antiviralt legemiddel
12748,U843,Resistens mot tuberkulostatikum
12749,U847,Resistens mot multiple antimikrobielle legemidler
12750,U848,Resistens mot annet spesifisert antimikrobielt legemiddel
12751,U849,Resistens mot uspesifisert antimikrobielt legemiddel
12752,U85,Resistens mot antineoplastiske legemidler
12753,V0n0a,"Fotgjenger skadd i transportulykke i bolig eller boligområde under arbeid i industri, bergverk, olje eller gass"
12754,V0n0b,Fotgjenger skadd i transportulykke i bolig eller boligområde under arbeid i bygg og anlegg
12755,V0n0c,Fotgjenger skadd i transportulykke i bolig eller boligområde i all virksomhet knyttet til olje-/gassutvinning på norsk kontinentalsokkel
12756,V0n0d,Fotgjenger skadd i transportulykke i bolig eller boligområde i jordbruk eller skogbruk
12757,V0n0e,Fotgjenger skadd i transportulykke i bolig eller boligområde under arbeid med fiske eller fangst
12758,V0n0f,Fotgjenger skadd i transportulykke i bolig eller boligområde under arbeid i det militære forsvar
12759,V0n0g,Fotgjenger skadd i transportulykke i bolig eller boligområde under arbeid i politi eller fengselsvesen
12760,V0n0h,Fotgjenger skadd i transportulykke i bolig eller boligområde under arbeid i annen næring
12761,V0n0i,Fotgjenger skadd i transportulykke i bolig eller boligområde under arbeid i ukjent eller ikke spesifisert næring
12762,V0n0j,Fotgjenger skadd i transportulykke i bolig eller boligområde under utdanning
12763,V0n0k,"Fotgjenger skadd i transportulykke i bolig eller boligområde under verneplikt, militærtjeneste eller siviltjeneste"
12764,V0n0m,"Fotgjenger skadd i transportulykke i bolig eller boligområde under idrett, sport eller mosjon i utdanning/verneplikt/siviltjeneste"
12765,V0n0p,"Fotgjenger skadd i transportulykke i bolig eller boligområde under annen idrett, sport eller mosjon"
12766,V0n0r,Fotgjenger skadd i transportulykke i bolig eller boligområde under annen aktivitet
12767,V0n0y,Fotgjenger skadd i transportulykke i bolig eller boligområde under ukjent aktivitet
12768,V0n1a,"Fotgjenger skadd i transportulykke ved veitrafikkulykke under arbeid i industri, bergverk, olje eller gass"
12769,V0n1b,Fotgjenger skadd i transportulykke ved veitrafikkulykke under arbeid i bygg og anlegg
12770,V0n1c,Fotgjenger skadd i transportulykke ved veitrafikkulykke i all virksomhet knyttet til olje-/gassutvinning på norsk kontinentalsokkel
12771,V0n1d,Fotgjenger skadd i transportulykke ved veitrafikkulykke i jordbruk eller skogbruk
12772,V0n1e,Fotgjenger skadd i transportulykke ved veitrafikkulykke under arbeid med fiske eller fangst
12773,V0n1f,Fotgjenger skadd i transportulykke ved veitrafikkulykke under arbeid i det militære forsvar
12774,V0n1g,Fotgjenger skadd i transportulykke ved veitrafikkulykke under arbeid i politi eller fengselsvesen
12775,V0n1h,Fotgjenger skadd i transportulykke ved veitrafikkulykke under arbeid i annen næring
12776,V0n1i,Fotgjenger skadd i transportulykke ved veitrafikkulykke under arbeid i ukjent eller ikke spesifisert næring
12777,V0n1j,Fotgjenger skadd i transportulykke ved veitrafikkulykke under utdanning
12778,V0n1k,"Fotgjenger skadd i transportulykke ved veitrafikkulykke under verneplikt, militærtjeneste eller siviltjeneste"
12779,V0n1m,"Fotgjenger skadd i transportulykke ved veitrafikkulykke under idrett, sport eller mosjon i utdanning/verneplikt/siviltjeneste"
12780,V0n1p,"Fotgjenger skadd i transportulykke ved veitrafikkulykke under annen idrett, sport eller mosjon"
12781,V0n1r,Fotgjenger skadd i transportulykke ved veitrafikkulykke under annen aktivitet
12782,V0n1y,Fotgjenger skadd i transportulykke ved veitrafikkulykke under ukjent aktivitet
12783,V0n2a,"Fotgjenger skadd i transportulykke ved annen ulykke på gate eller vei under arbeid i industri, bergverk, olje eller gass"
12784,V0n2b,Fotgjenger skadd i transportulykke ved annen ulykke på gate eller vei under arbeid i bygg og anlegg
12785,V0n2c,Fotgjenger skadd i transportulykke ved annen ulykke på gate eller vei i all virksomhet knyttet til olje-/gassutvinning på norsk kontinentalsokkel
12786,V0n2d,Fotgjenger skadd i transportulykke ved annen ulykke på gate eller vei i jordbruk eller skogbruk
12787,V0n2e,Fotgjenger skadd i transportulykke ved annen ulykke på gate eller vei under arbeid med fiske eller fangst
12788,V0n2f,Fotgjenger skadd i transportulykke ved annen ulykke på gate eller vei under arbeid i det militære forsvar
12789,V0n2g,Fotgjenger skadd i transportulykke ved annen ulykke på gate eller vei under arbeid i politi eller fengselsvesen
12790,V0n2h,Fotgjenger skadd i transportulykke ved annen ulykke på gate eller vei under arbeid i annen næring
12791,V0n2i,Fotgjenger skadd i transportulykke ved annen ulykke på gate eller vei under arbeid i ukjent eller ikke spesifisert næring
12792,V0n2j,Fotgjenger skadd i transportulykke ved annen ulykke på gate eller vei under utdanning
12793,V0n2k,"Fotgjenger skadd i transportulykke ved annen ulykke på gate eller vei under verneplikt, militærtjeneste eller siviltjeneste"
12794,V0n2m,"Fotgjenger skadd i transportulykke ved annen ulykke på gate eller vei under idrett, sport eller mosjon i utdanning/verneplikt/siviltjeneste"
12795,V0n2p,"Fotgjenger skadd i transportulykke ved annen ulykke på gate eller vei under annen idrett, sport eller mosjon"
12796,V0n2r,Fotgjenger skadd i transportulykke ved annen ulykke på gate eller vei under annen aktivitet
12797,V0n2y,Fotgjenger skadd i transportulykke ved annen ulykke på gate eller vei under ukjent aktivitet
12798,V0n3a,"Fotgjenger skadd i transportulykke i barnehage eller på lekeplass under arbeid i industri, bergverk, olje eller gass"
12799,V0n3b,Fotgjenger skadd i transportulykke i barnehage eller på lekeplass under arbeid i bygg og anlegg
12800,V0n3c,Fotgjenger skadd i transportulykke i barnehage eller på lekeplass i all virksomhet knyttet til olje-/gassutvinning på norsk kontinentalsokkel
12801,V0n3d,Fotgjenger skadd i transportulykke i barnehage eller på lekeplass i jordbruk eller skogbruk
12802,V0n3e,Fotgjenger skadd i transportulykke i barnehage eller på lekeplass under arbeid med fiske eller fangst
12803,V0n3f,Fotgjenger skadd i transportulykke i barnehage eller på lekeplass under arbeid i det militære forsvar
12804,V0n3g,Fotgjenger skadd i transportulykke i barnehage eller på lekeplass under arbeid i politi eller fengselsvesen
12805,V0n3h,Fotgjenger skadd i transportulykke i barnehage eller på lekeplass under arbeid i annen næring
12806,V0n3i,Fotgjenger skadd i transportulykke i barnehage eller på lekeplass under arbeid i ukjent eller ikke spesifisert næring
12807,V0n3j,Fotgjenger skadd i transportulykke i barnehage eller på lekeplass under utdanning
12808,V0n3k,"Fotgjenger skadd i transportulykke i barnehage eller på lekeplass under verneplikt, militærtjeneste eller siviltjeneste"
12809,V0n3m,"Fotgjenger skadd i transportulykke i barnehage eller på lekeplass under idrett, sport eller mosjon i utdanning/verneplikt/siviltjeneste"
12810,V0n3p,"Fotgjenger skadd i transportulykke i barnehage eller på lekeplass under annen idrett, sport eller mosjon"
12811,V0n3r,Fotgjenger skadd i transportulykke i barnehage eller på lekeplass under annen aktivitet
12812,V0n3y,Fotgjenger skadd i transportulykke i barnehage eller på lekeplass under ukjent aktivitet
12813,V0n4a,"Fotgjenger skadd i transportulykke på skole, høyskole eller i skolegård under arbeid i industri, bergverk, olje eller gass"
12814,V0n4b,"Fotgjenger skadd i transportulykke på skole, høyskole eller i skolegård under arbeid i bygg og anlegg"
12815,V0n4c,"Fotgjenger skadd i transportulykke på skole, høyskole eller i skolegård i all virksomhet knyttet til olje-/gassutvinning på norsk kontinentalsokkel"
12816,V0n4d,"Fotgjenger skadd i transportulykke på skole, høyskole eller i skolegård i jordbruk eller skogbruk"
12817,V0n4e,"Fotgjenger skadd i transportulykke på skole, høyskole eller i skolegård under arbeid med fiske eller fangst"
12818,V0n4f,"Fotgjenger skadd i transportulykke på skole, høyskole eller i skolegård under arbeid i det militære forsvar"
12819,V0n4g,"Fotgjenger skadd i transportulykke på skole, høyskole eller i skolegård under arbeid i politi eller fengselsvesen"
12820,V0n4h,"Fotgjenger skadd i transportulykke på skole, høyskole eller i skolegård under arbeid i annen næring"
12821,V0n4i,"Fotgjenger skadd i transportulykke på skole, høyskole eller i skolegård under arbeid i ukjent eller ikke spesifisert næring"
12822,V0n4j,"Fotgjenger skadd i transportulykke på skole, høyskole eller i skolegård under utdanning"
12823,V0n4k,"Fotgjenger skadd i transportulykke på skole, høyskole eller i skolegård under verneplikt, militærtjeneste eller siviltjeneste"
12824,V0n4m,"Fotgjenger skadd i transportulykke på skole, høyskole eller i skolegård under idrett, sport eller mosjon i utdanning/verneplikt/siviltjeneste"
12825,V0n4p,"Fotgjenger skadd i transportulykke på skole, høyskole eller i skolegård under annen idrett, sport eller mosjon"
12826,V0n4r,"Fotgjenger skadd i transportulykke på skole, høyskole eller i skolegård under annen aktivitet"
12827,V0n4y,"Fotgjenger skadd i transportulykke på skole, høyskole eller i skolegård under ukjent aktivitet"
12828,V0n5a,"Fotgjenger skadd i transportulykke i somatisk eller psykiatrisk sykehus eller helseinstitusjon under arbeid i industri, bergverk, olje eller gass"
12829,V0n5b,Fotgjenger skadd i transportulykke i somatisk eller psykiatrisk sykehus eller helseinstitusjon under arbeid i bygg og anlegg
12830,V0n5c,Fotgjenger skadd i transportulykke i somatisk eller psykiatrisk sykehus eller helseinstitusjon i all virksomhet knyttet til olje-/gassutvinning på norsk kontinentalsokkel
12831,V0n5d,Fotgjenger skadd i transportulykke i somatisk eller psykiatrisk sykehus eller helseinstitusjon i jordbruk eller skogbruk
12832,V0n5e,Fotgjenger skadd i transportulykke i somatisk eller psykiatrisk sykehus eller helseinstitusjon under arbeid med fiske eller fangst
12833,V0n5f,Fotgjenger skadd i transportulykke i somatisk eller psykiatrisk sykehus eller helseinstitusjon under arbeid i det militære forsvar
12834,V0n5g,Fotgjenger skadd i transportulykke i somatisk eller psykiatrisk sykehus eller helseinstitusjon under arbeid i politi eller fengselsvesen
12835,V0n5h,Fotgjenger skadd i transportulykke i somatisk eller psykiatrisk sykehus eller helseinstitusjon under arbeid i annen næring
12836,V0n5i,Fotgjenger skadd i transportulykke i somatisk eller psykiatrisk sykehus eller helseinstitusjon under arbeid i ukjent eller ikke spesifisert næring
12837,V0n5j,Fotgjenger skadd i transportulykke i somatisk eller psykiatrisk sykehus eller helseinstitusjon under utdanning
12838,V0n5k,"Fotgjenger skadd i transportulykke i somatisk eller psykiatrisk sykehus eller helseinstitusjon under verneplikt, militærtjeneste eller siviltjeneste"
12839,V0n5m,"Fotgjenger skadd i transportulykke i somatisk eller psykiatrisk sykehus eller helseinstitusjon under idrett, sport eller mosjon i utdanning/verneplikt/siviltjeneste"
12840,V0n5p,"Fotgjenger skadd i transportulykke i somatisk eller psykiatrisk sykehus eller helseinstitusjon under annen idrett, sport eller mosjon"
12841,V0n5r,Fotgjenger skadd i transportulykke i somatisk eller psykiatrisk sykehus eller helseinstitusjon under annen aktivitet
12842,V0n5y,Fotgjenger skadd i transportulykke i somatisk eller psykiatrisk sykehus eller helseinstitusjon under ukjent aktivitet
12843,V0n6a,"Fotgjenger skadd i transportulykke i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under arbeid i industri, bergverk, olje eller gass"
12844,V0n6b,"Fotgjenger skadd i transportulykke i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under arbeid i bygg og anlegg"
12845,V0n6c,"Fotgjenger skadd i transportulykke i fellesboform for pleie og omsorg, på sykehjem eller aldershjem i all virksomhet knyttet til olje-/gassutvinning på norsk kontinentalsokkel"
12846,V0n6d,"Fotgjenger skadd i transportulykke i fellesboform for pleie og omsorg, på sykehjem eller aldershjem i jordbruk eller skogbruk"
12847,V0n6e,"Fotgjenger skadd i transportulykke i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under arbeid med fiske eller fangst"
12848,V0n6f,"Fotgjenger skadd i transportulykke i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under arbeid i det militære forsvar"
12849,V0n6g,"Fotgjenger skadd i transportulykke i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under arbeid i politi eller fengselsvesen"
12850,V0n6h,"Fotgjenger skadd i transportulykke i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under arbeid i annen næring"
12851,V0n6i,"Fotgjenger skadd i transportulykke i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under arbeid i ukjent eller ikke spesifisert næring"
12852,V0n6j,"Fotgjenger skadd i transportulykke i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under utdanning"
12853,V0n6k,"Fotgjenger skadd i transportulykke i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under verneplikt, militærtjeneste eller siviltjeneste"
12854,V0n6m,"Fotgjenger skadd i transportulykke i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under idrett, sport eller mosjon i utdanning/verneplikt/siviltjeneste"
12855,V0n6p,"Fotgjenger skadd i transportulykke i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under annen idrett, sport eller mosjon"
12856,V0n6r,"Fotgjenger skadd i transportulykke i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under annen aktivitet"
12857,V0n6y,"Fotgjenger skadd i transportulykke i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under ukjent aktivitet"
12858,V0n7a,"Fotgjenger skadd i transportulykke i gymnastikksal, idretts- eller sportsanlegg, inne eller ute, også på skole eller institusjon under arbeid i industri, bergverk, olje eller gass"
12859,V0n7b,"Fotgjenger skadd i transportulykke i gymnastikksal, idretts- eller sportsanlegg, inne eller ute, også på skole eller institusjon under arbeid i bygg og anlegg"
12860,V0n7c,"Fotgjenger skadd i transportulykke i gymnastikksal, idretts- eller sportsanlegg, inne eller ute, også på skole eller institusjon i all virksomhet knyttet til olje-/gassutvinning på norsk kontinentalsokkel"
12861,V0n7d,"Fotgjenger skadd i transportulykke i gymnastikksal, idretts- eller sportsanlegg, inne eller ute, også på skole eller institusjon i jordbruk eller skogbruk"
12862,V0n7e,"Fotgjenger skadd i transportulykke i gymnastikksal, idretts- eller sportsanlegg, inne eller ute, også på skole eller institusjon under arbeid med fiske eller fangst"
12863,V0n7f,"Fotgjenger skadd i transportulykke i gymnastikksal, idretts- eller sportsanlegg, inne eller ute, også på skole eller institusjon under arbeid i det militære forsvar"
